"","Word","Year","WordStart","vowel","coda_cons","foot","pre","pre_amb","br","br_amb","cr","unrel","unrel_amb","aff","aff_amb","sp","sp_amb","sp_full","sp_partial","sp_fp","release"
"1930","tradition","1988",95.72790928,"ɪ","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1931","traditional","1995",257.3552802,"ɪ","ʃ","medial",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1932","traditional","2000",40.77101923,"ɪ","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1933","traditionally","1961",10.71840601,"ɪ","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1934","traditions","1964",162.4199503,"ɪ","ʃ","medial",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1935","translation","2010",31.02770754,"ei","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1936","translation","2010",49.4441403,"ei","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1937","treat","1970",240.4479614,"i","t","final",0,0,1,1,0,0,0,0,0,1,1,0,1,0,"spirantised"
"1938","treat","1970",242.4280151,"i","t","final",0,0,0,0,1,0,0,0,0,1,1,0,1,0,"spirantised"
"1939","treat","2000",152.12,"i","t","final",0,0,0,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1940","treat","2000",154.395535,"i","t","final",0,0,0,0,0,0,0,1,1,0,0,0,0,0,"affricated"
"1941","treat","2005",161.539384,"i","t","final",0,0,0,0,0,0,0,1,1,0,0,0,0,0,"affricated"
"1942","treated","2005",163.5157834,"i","t","medial",0,0,0,0,0,0,0,0,0,1,1,0,1,0,"spirantised"
"1943","treating","2018",237.3887758,"i","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1944","tribulations","2001",294.0106934,"ei","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1945","tribute","1957",210.6386072,"u","t","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1946","tribute","1994",17.59466868,"u","t","final",0,0,0,0,0,1,1,0,0,0,0,0,0,0,"unreleased"
"1947","tribute","1995",8.192871432,"u","t","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1948","tribute","2001",99.18365107,"u","t","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1949","tribute","2001",194.0609526,"u","t","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1950","tributes","2002",48.58585846,"u","t","final",0,0,0,0,1,0,0,0,0,1,1,1,0,0,"spirantised"
"1951","trip","1983",34.12118726,"ɪ","p","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1952","trust","1957",133.93,"ʌ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1953","trust","2002",223.9744084,"ʌ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1954","truth","1957",351.1942272,"u","θ","final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1955","truth","1972",297.7957448,"u","θ","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1956","twentyfirst","2000",22.80284539,"ɜ","s","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1957","twentyfirst","2002",123.4114985,"ɜ","s","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1958","twice","2015",74.18968353,"ai","s","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1959","uncertainty","1958",72.58419376,"ɜ","t","medial",1,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1960","undertaken","2002",154.1048284,"ei","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1961","undertaking","1958",120.6151663,"ei","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1962","unforgettable","1995",38.83903429,"ɛ","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1963","unforgettable","2000",3.53,"ɛ","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1964","unhappy","1970",193.5420911,"æ","p","medial",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"normal release"
"1965","unique","1972",169.36,"i","k","final",0,0,0,0,0,0,0,0,0,1,1,0,1,0,"spirantised"
"1966","unite","1952",138.58,"ai","t","final",0,0,0,1,0,0,0,0,0,1,1,0,1,0,"spirantised"
"1967","united","1957",254.68,"ai","t","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
